No,ARTICULO   ,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
1.0,ACEITE DE BEBE BABY CHIC MEDIANO 115 ML ,3.0,,,,,,,,,,,,3.0,2.0,10.0,,,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
2.0,AMOXICILINA+CLAVUL 400/57 100 ML PHARM INTER,3.0,,,,,,,,,,,,3.0,11.0,45.0,,2027-02-01,6.0,6.0,2025-03-01,1.0,1.0,3.0,2.0,7.0,1.75,7.0,14.0
3.0,ARCO CORT 40MG KIT,2.0,,,,,,,,,,,,2.0,8.0,44.0,,2029-04-01,2.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
4.0,AVAMIGRAN BLISTER X 10,8.0,,3.0,2.0,,,,,,,,,3.0,11.0,6.0,,2026-04-01,0.0,,2024-08-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
5.0,BACTID SPRAY TOPICO 30 ML ,2.0,,,,,,,,,,,,2.0,4.0,44.0,,2026-06-01,0.0,,2024-11-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
6.0,BIFONAZOL GOTAS TOPICAS 15 ML ,2.0,,,,,,,,,,,,2.0,8.0,44.0,,2028-10-01,0.0,,2024-08-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
7.0,BINOTAL (AMPICILINA) 1000MG BLISTER X 6,8.0,,,,,,,,,,,,8.0,10.0,5.0,,2025-12-01,2.0,,2024-08-01,3.0,1.0,3.0,2.0,9.0,2.25,9.0,18.0
8.0,BROMHEXINA CAPLIN JARABE 120 ML,3.0,,,,,,,,,,,,3.0,5.0,8.0,,2026-05-01,4.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
9.0,BUDESONIDA SPRAY 200 MCG PORFONSA Y CAPLIN,3.0,,,,,,,,,,,,3.0,5.0,109.0,,2026-10-01,3.0,,2024-12-01,1.0,1.0,2.0,,4.0,1.0,4.0,8.0
10.0,CANDERSARTAN 32  BLS X 10 CAJA X 30 TABS CAPLIN,5.0,,,,1.0,,,,,,,,4.0,10.0,38.0,ROSADEL,2027-02-01,7.0,4.0,2025-03-01,1.0,1.0,1.0,4.0,7.0,1.75,7.0,14.0
11.0,CEFTRIAXONA+SULBACTAM CAPLIN IM.IV,1.0,,,,,,,,,,,,1.0,-1.0,60.0,,,,,,,,,,0.0,0.0,0.0,0.0
12.0,CLARITROMICINA 500 MGS BLIST X 10 BALAXI,4.0,,,,,,,,,,,,4.0,4.0,30.0,,2026-07-01,0.0,,2024-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
13.0,CON-KA ELIXIR 240 ML GLUCONATO DE POTASIO ,2.0,,,,,,,,,,,,2.0,0.0,92.0,,2027-07-01,0.0,,2024-06-01,,,1.0,,1.0,0.25,1.0,2.0
14.0,CUERPO AMARILLO AMPOLLA KIT PIERSAN,2.0,,,,,,,,,,,,2.0,4.0,45.0,,2027-11-01,2.0,,2025-02-01,1.0,1.0,0.0,1.0,3.0,0.75,3.0,6.0
15.0,CYCLONOR NORDIC ANTICONCEP. MENSUAL VIJOSA,2.0,,,,,,,,,,,,2.0,6.0,56.0,,2029-12-01,0.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
16.0,DEAREXIN 400 MG (NIFUROXAZIDA) BLIS X 4 CAJA X 8 TAB,4.0,,,,,,,,,,,,4.0,18.0,30.0,,2028-01-01,9.0,6.0,2025-03-01,1.0,4.0,4.0,2.0,11.0,2.75,11.0,22.0
17.0,DEAREXIN SUSPENSIÓN 120 ML ,2.0,,,,,,,,,,,,2.0,6.0,51.0,SOLER,2029-05-01,3.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
18.0,DELRECT (CREMA RECTAL P/HEM 30 GRS CAPLIN),1.0,,,,,,,,,,,,1.0,7.0,35.0,,2026-03-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
19.0,DEXAVITANERVO KIT AMPOLLA,4.0,,,,,,,,,,,,4.0,8.0,19.0,,2026-10-01,3.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
20.0,DOLO MENALGIL KIT AMPOLLA MENARINI ,2.0,,,,,,,,,,,,2.0,14.0,57.0,,2025-06-01,0.0,,2025-01-01,1.0,2.0,2.0,3.0,8.0,2.0,8.0,16.0
21.0,ENANTYUM 25 MG SOLUCION ORAL 10 ML,6.0,,,,,,,,,,,,6.0,22.0,25.0,,2027-04-01,6.0,6.0,2025-03-01,4.0,5.0,4.0,1.0,14.0,3.5,14.0,28.0
22.0,ENZIFLAT (ENZIMAS) BLIST X 10 CAJA X 120 TABS,82.0,,,,,,,,,,,,82.0,-10.0,1.5,,2026-05-01,,,2025-01-01,2.0,12.0,2.0,20.0,36.0,9.0,36.0,72.0
23.0,EQUILIV GOTAS 10 ML ,1.0,,,,,,,,,,,,1.0,3.0,138.0,,2026-11-01,1.0,,2025-01-01,,1.0,,1.0,2.0,0.5,2.0,4.0
24.0,FARLABORIN PHARLAND ,8.0,,,,,,,,,,,,8.0,16.0,5.0,,2027-04-01,0.0,,2025-03-01,1.0,3.0,6.0,2.0,12.0,3.0,12.0,24.0
25.0,FEMITAB (KETO +CLINDA) OVULOS CAJA X 7,3.0,,,,,,,,,,,,3.0,5.0,90.0,,2025-12-01,4.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
26.0,GARGADIN FRAMBUESA CAJA X 56 PASTI,38.0,,,,,,,,,,,,38.0,50.0,2.0,,2026-04-01,1.0,1.0,2025-03-01,11.0,23.0,7.0,3.0,44.0,11.0,44.0,88.0
27.0,GARGADIN MIEL LIMON CAJA X 56 PASTI ,56.0,,,,,,,,8.0,,,,48.0,0.0,2.0,,2026-04-01,1.0,,2024-12-01,8.0,2.0,5.0,9.0,24.0,6.0,24.0,48.0
28.0,GARGADIN SABOR NARANJA BLISTSER X 8 PASTILLAS ,35.0,,,,,,,,,,,,35.0,-17.0,2.0,,2026-04-01,1.0,,2024-12-01,3.0,1.0,3.0,2.0,9.0,2.25,9.0,18.0
29.0,GLICITOS C (AMBROXOL+CLEMBUTEROL) 120 ML SELEC,3.0,,,,,,,,,,,,3.0,5.0,23.0,,2027-05-01,3.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
30.0,GLICITOS S (AMBROXOL+SALBUTAMOL) 120ML SELEC,1.0,,,,,,,,,,,,1.0,7.0,33.0,SOLER,2026-06-01,0.0,,2024-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
31.0,GUANTES LATEX GRANDE X 100,70.0,,,,,,,,,,,,70.0,-30.0,1.15,,2029-03-01,2.0,1.0,2025-03-01,10.0,2.0,6.0,2.0,20.0,5.0,20.0,40.0
32.0,GUANTES LATEX MEDIANO X 100 ,89.0,,,,,,2.0,,,,4.0,,83.0,45.0,1.15,,2026-05-01,2.0,2.0,2025-03-01,14.0,42.0,2.0,6.0,64.0,16.0,64.0,128.0
33.0,GUANTES LATEX PEQUEÑO X 100,44.0,,,,,,,,,,,,44.0,-16.0,1.15,,2026-06-01,2.0,1.0,2025-03-01,4.0,6.0,2.0,2.0,14.0,3.5,14.0,28.0
34.0,HIERRO SACAROSA 100/MG AMP 5ML IV CAPLIN CJ X 10,0.0,,,,,,,,,,,,0.0,18.0,45.0,ESTUAR,2025-12-01,0.0,,2024-07-01,2.0,4.0,1.0,2.0,9.0,2.25,9.0,18.0
35.0,HIGO MIEL  120 ML ,2.0,,1.0,,,,1.0,,,,,,0.0,3.0,58.0,,2026-12-01,0.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
36.0,HISTAPRIN CAJA X20 TAB BLIS X10,10.0,,,,,,,,,,,,10.0,1.0,4.5,,2027-05-01,0.0,,2024-07-01,1.0,4.0,6.0,2.0,13.0,3.25,13.0,26.0
37.0,JABON PARA BEBE JOHNSON ANTES DE DORMIR 75 GRS,2.0,,,,,,,,,,,,2.0,2.0,14.0,,2025-09-01,3.0,,2024-05-01,1.0,,1.0,,2.0,0.5,2.0,4.0
38.0,JABON PARA BEBE JOHNSON ORIGINAL CREMOSO 75 GRS,1.0,,,,,,,1.0,,,,,0.0,2.0,14.0,,2026-11-01,2.0,,2024-05-01,,1.0,,,1.0,0.25,1.0,2.0
39.0,KOACT 1 GR AMOX+CLAV CAJA X 15 TAB BLISTER X 5,24.0,,,,,,,,,,5.0,,19.0,43.0,6.0,,2025-08-01,0.0,,2024-12-01,1.0,1.0,17.0,12.0,31.0,7.75,31.0,62.0
40.0,KOACT 62.5 AMOXI 500 ACIDOCLAV X 15 TAB BLISTER X 5,0.0,,,,,,,,,,,,0.0,38.0,4.0,ROSADEL,2026-05-01,0.0,,2025-01-01,3.0,2.0,9.0,5.0,19.0,4.75,19.0,38.0
41.0,KOREOFIN CAPLIN,3.0,,,,,,,,,,,,3.0,7.0,18.0,,2026-10-01,4.0,,2024-12-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
42.0,LEVOTIROXINA MERCK BLISTER X 25 CAJA X 100,8.0,,,,,,1.0,,,,,,7.0,4.0,50.0,,2026-05-01,5.0,,2025-01-01,1.0,2.0,3.0,1.0,7.0,1.75,7.0,14.0
43.0,LOSART50/12.5MG HIDRO CJ X 30  BLIST X 10 TABS CAPLIN,4.0,,,,,,,,,,3.0,,1.0,15.0,17.0,,2027-01-01,4.0,4.0,2025-03-01,1.0,3.0,1.0,3.0,8.0,2.0,8.0,16.0
44.0,LOSARTAN 50 MG BLIS X 10 CAJA X 100 CAPLIN,17.0,,,,,,,,,,,,17.0,31.0,10.0,ROSADEL,2027-01-01,5.0,3.0,2025-03-01,3.0,6.0,4.0,11.0,24.0,6.0,24.0,48.0
45.0,LUSIA FX CAJA X 28 TAB ,2.0,,,,,,,,,,,,2.0,8.0,19.0,,2028-05-01,4.0,6.0,2025-03-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
